Q Q0 dL dH-dL a b dmin dmax-dmin Objective
0.921264 0.846274 0.293921 0.457204 3.56326 1.51344 0.234869 0.250647 0.675878
0.516976 0.722035 0.623469 0.82176 1.46709 2.85756 0.609275 0.720896 0.352851
0.975089 0.760961 0.544048 0.277258 1.82738 1.73898 0.18743 0.151055 0.637169
0.971779 0.886642 0.819847 0.114654 2.90538 2.00657 -0.067343 0.685031 0.6616
0.644143 0.539663 0.707219 0.908309 2.54231 3.07533 0.753055 0.137728 0.635139
0.342418 0.486755 0.915233 0.427946 3.51109 2.01985 -0.145487 0.480003 0.647153
0.689368 0.761699 0.312856 0.563629 3.48277 0.9714 0.848144 0.200577 1.70903
0.523208 0.71082 0.281824 0.0577202 1.53074 2.15543 0.360449 0.0460624 1.28665
0.624784 0.423933 0.382896 0.530632 1.2685 1.86826 0.723957 0.686377 0.661911
0.564493 0.329252 -0.0263256 0.0752782 0.97357 3.97909 -0.156761 0.570954 0.370253
0.501325 0.209802 0.753426 0.436563 2.85959 3.37779 0.323136 0.507547 0.270492
0.409469 0.630282 0.579049 0.0741424 2.12006 1.09855 0.366582 0.649231 0.221757
0.670367 0.253955 0.402645 0.644605 0.832104 1.60485 0.379736 0.904645 0.524418
0.466344 0.416383 0.470807 0.309732 3.5335 0.847793 0.0366903 0.891964 0.398479
0.433391 0.609993 0.0254345 0.401612 2.12908 2.38348 -0.0235832 0.622467 0.285057
0.798945 0.730212 0.8486 0.762157 1.62716 0.995795 -0.0264238 0.150637 0.47528
0.584146 0.631177 0.12394 0.945624 2.47316 1.5393 0.596187 0.522747 0.903489
0.412144 0.351349 -0.0213881 0.695801 3.88602 1.11213 0.74071 0.187588 28.5175
0.399309 0.940198 0.320939 0.217586 3.38228 0.811883 0.980908 0.147784 16.7517
0.723822 0.819854 0.155331 0.795939 2.70557 1.4202 0.679578 0.611588 0.819988
0.595185 0.622333 0.397993 0.211592 3.17841 1.46254 0.729429 0.314467 1.02942
0.422395 0.77568 -0.163012 0.749581 2.221 2.9973 0.881201 0.520975 1.76938
0.289511 0.359691 0.020668 0.306206 1.25307 3.1363 0.726079 0.653891 0.869368
0.302727 0.686686 0.6081 0.90723 2.23766 3.45116 0.879197 0.163979 1.41234
0.915965 0.558492 0.0587763 0.368681 1.74082 3.40327 0.875318 0.053118 2.51524
0.620797 0.589243 0.641733 0.584992 2.84997 2.55728 0.863721 0.634081 0.649998
0.751006 0.875357 0.764639 0.90295 2.77758 3.11351 0.382094 0.6366 0.487482
0.87465 0.623785 0.755834 0.422778 3.39161 1.02379 0.0362803 0.907658 0.617036
0.45927 0.401528 0.823719 0.301967 2.48901 3.58591 0.724414 0.278616 0.274727
0.490966 0.954475 0.0942774 0.337147 1.76916 1.23857 0.454477 0.0968144 4.48413
0.517591 0.500152 0.822157 0.99998 1.34436 2.05121 0.0962389 0.869097 0.254541
0.481632 0.357026 0.461305 0.482251 3.00895 3.50921 0.169755 0.704985 0.306717
0.347618 0.55103 0.0770689 0.0829464 2.43504 0.848455 0.686999 0.345722 2.2747
0.226281 0.879484 0.449772 0.591675 1.56614 1.67537 0.993076 0.448026 0.538788
0.44073 0.395376 0.485579 0.770997 1.83631 2.05594 -0.148114 0.671123 0.233103
0.951844 0.535695 0.176493 0.888413 2.54464 1.16236 0.852969 0.400985 0.775572
0.708313 0.778151 0.452432 0.474586 0.830408 3.37882 0.139314 0.557577 0.430958
0.951157 0.715459 0.894597 0.0415736 2.09266 1.55641 0.971833 0.436381 0.699874
0.933281 0.920058 0.261612 0.993913 1.85629 1.27027 -0.0198348 0.0137155 0.59262
0.565794 0.268172 0.794194 0.140745 2.6149 1.92609 0.645348 0.614731 0.473975
0.47051 0.606977 0.363055 0.778523 2.77158 2.94607 0.608336 0.415694 0.670038
0.720137 0.478694 0.873343 0.704304 1.11825 3.84952 0.877251 0.0887306 0.556706
0.391729 0.940727 0.556797 0.877547 3.1918 1.43492 -0.0379231 0.904718 0.198402
0.842858 0.826841 0.952839 0.0425236 2.07192 2.69772 0.149451 0.662367 0.507446
0.783266 0.869237 0.179324 0.513149 0.936599 3.19662 0.896545 0.70416 0.752598
0.316205 0.589696 0.751109 0.0929567 3.48355 1.61122 -0.168408 0.266573 0.977333
0.880563 0.400431 0.437458 0.792249 1.78375 1.24251 -0.073838 0.0620984 0.421132
